Category,Type,Subcategory,Year,Computer Literacy Rate (%),Digital Literacy Rate (%)
Sri Lanka,Total,Total,2023,39.0,63.5
Male,Sex,Male,2023,40.9,65.9
Female,Sex,Female,2023,37.2,61.3
Urban,Sector,Urban,2023,52.9,76.6
Rural,Sector,Rural,2023,37.1,61.7
Estate,Sector,Estate,2023,17.9,44.8
5 - 9,Age group,5 - 9,2023,15.5,47.2
10 - 14,Age group,10 - 14,2023,56.3,77.8
15 - 19,Age group,15 - 19,2023,79.4,93.0
20 - 24,Age group,20 - 24,2023,74.7,93.8
25 - 29,Age group,25 - 29,2023,64.1,89.7
30 - 34,Age group,30 - 34,2023,52.8,84.2
35 - 39,Age group,35 - 39,2023,39.8,75.4
40 - 49,Age group,40 - 49,2023,29.4,62.5
50 - 59,Age group,50 - 59,2023,16.6,39.6
60 - 69,Age group,60 - 69,2023,8.3,23.3